,player_name,player_age,Total_kills,Headshot_in_%,Total_deaths,Kills_deaths,Damage_in_Round,Grenade_dmg_in_Round,Maps_played,Rounds_played,Kills_in_round,Assists_in_round,Deaths_in_round,Saved_by_teammate_in_round,Saved_teammates_in_round,Rating
0,x1ron,22.0,679,42.4,449,1.51,94.1,2.5,30,711,0.95,0.08,0.63,0.08,0.11,1.41
1,forsaken,26.0,609,59.8,425,1.43,86.5,2.3,27,682,0.89,0.09,0.62,0.09,0.14,1.31
2,ZywOo,21.0,20835,41.4,15086,1.38,88.8,3.6,934,24502,0.85,0.13,0.62,0.1,0.12,1.33
4,s1mple,24.0,33651,41.4,25119,1.34,86.5,2.3,1491,39335,0.86,0.1,0.64,0.08,0.11,1.25
5,HuNtR,25.0,1976,36.7,1440,1.37,89.1,4.7,92,2382,0.83,0.15,0.6,0.09,0.12,1.3
6,saffee,27.0,6950,31.0,5073,1.37,83.6,3.2,317,8413,0.83,0.11,0.6,0.08,0.1,1.27
7,NOtA,32.0,600,49.5,458,1.31,74.0,4.5,29,724,0.83,0.1,0.63,0.09,0.13,1.23
8,deko,20.0,6644,37.2,4771,1.39,80.6,3.0,305,8194,0.81,0.09,0.58,0.08,0.11,1.25
9,m0NESY,16.0,3696,42.0,2763,1.34,85.3,3.1,177,4548,0.81,0.11,0.61,0.09,0.11,1.28
10,sh1ro,20.0,16446,27.8,11428,1.44,78.6,3.9,805,21386,0.77,0.11,0.53,0.08,0.11,1.26
11,aum101,24.0,535,40.0,418,1.28,85.2,3.2,25,645,0.83,0.12,0.65,0.09,0.11,1.21
12,JamieG,19.0,429,37.1,330,1.3,81.6,4.4,21,538,0.8,0.09,0.61,0.08,0.11,1.21
13,w0nderful,17.0,3404,41.1,2516,1.35,79.0,2.8,161,4316,0.79,0.09,0.58,0.09,0.11,1.22
14,skoolage,29.0,742,44.6,601,1.23,94.0,3.6,31,874,0.85,0.19,0.69,0.1,0.11,1.27
15,try,17.0,5386,35.0,4070,1.32,80.8,4.2,257,6784,0.79,0.11,0.6,0.1,0.11,1.24
16,Kaze,27.0,16410,30.3,12451,1.32,80.5,2.9,801,20911,0.78,0.11,0.6,0.08,0.1,1.19
17,sterling,23.0,15884,31.5,11899,1.33,79.1,4.0,788,20203,0.79,0.1,0.59,0.08,0.11,1.22
18,hazy,27.0,1250,53.4,1028,1.22,87.7,3.5,62,1502,0.83,0.16,0.68,0.13,0.11,1.19
19,degster,20.0,12827,34.7,9875,1.3,79.4,3.0,613,16307,0.79,0.09,0.61,0.07,0.1,1.21
20,d4v41,23.0,6461,41.7,5103,1.27,84.8,3.5,308,8005,0.81,0.13,0.64,0.1,0.14,1.23
21,HSB,21.0,902,45.1,722,1.25,87.6,2.4,42,1100,0.82,0.12,0.66,0.09,0.1,1.24
22,MartinezSa,20.0,457,34.4,369,1.24,80.6,1.2,22,560,0.82,0.09,0.66,0.09,0.09,1.17
23,DEATHLESS,24.0,346,35.3,295,1.17,87.9,1.2,20,408,0.85,0.1,0.72,0.06,0.12,1.2
25,smooya,22.0,16169,27.5,12772,1.27,79.2,2.4,779,20571,0.79,0.1,0.62,0.08,0.1,1.2
27,fxy0,28.0,3909,29.3,3125,1.25,82.4,2.2,186,4859,0.8,0.11,0.64,0.08,0.08,1.17
28,torzsi,19.0,8006,29.4,6367,1.26,79.4,2.5,380,10165,0.79,0.1,0.63,0.09,0.11,1.19
29,HEHE,28.0,510,41.2,409,1.25,89.1,4.9,25,624,0.82,0.14,0.66,0.08,0.09,1.17
30,neth,25.0,1826,46.7,1463,1.25,83.6,4.8,89,2323,0.79,0.13,0.63,0.09,0.1,1.2
31,Laz,26.0,5393,42.6,4245,1.27,81.7,3.2,269,6862,0.79,0.11,0.62,0.08,0.12,1.17
33,XANTARES,26.0,35003,53.4,29252,1.2,88.9,4.3,1639,43090,0.81,0.15,0.68,0.1,0.1,1.17
34,device,26.0,36293,35.0,29085,1.25,80.3,4.3,1793,46666,0.78,0.13,0.62,0.07,0.08,1.16
35,nettik,18.0,5441,55.8,4460,1.22,84.8,6.7,271,6983,0.78,0.15,0.64,0.1,0.13,1.21
36,cosmeeeN,22.0,6727,46.9,5618,1.2,83.9,2.5,319,8310,0.81,0.13,0.68,0.1,0.11,1.16
38,coldzera,27.0,27380,49.4,21748,1.26,79.6,2.4,1358,35408,0.77,0.11,0.61,0.08,0.1,1.16
39,SENSEi,23.0,7686,31.4,5821,1.32,75.5,2.5,390,10334,0.74,0.08,0.56,0.07,0.09,1.19
40,BnTeT,26.0,19744,39.8,15976,1.24,83.4,5.1,984,25640,0.77,0.15,0.62,0.1,0.12,1.16
41,SparkeR,28.0,1384,49.6,1170,1.18,82.6,4.3,71,1742,0.79,0.14,0.67,0.1,0.13,1.16
42,NiKo,24.0,32825,50.5,27553,1.19,85.8,4.2,1552,41181,0.8,0.13,0.67,0.08,0.1,1.16
43,DANK1NG,22.0,7163,40.5,5782,1.24,79.9,2.3,342,9082,0.79,0.1,0.64,0.09,0.1,1.2
